title,company,location,link,detail
개발을 사랑하는 개발자 (신입가능),한국스코어링(주),서울 마포구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37533299&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
[직방] 빅데이터랩팀 부동산DB 담당자 채용,(주)직방,서울 종로구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37497137&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
웹.앱기획 & 빅데이터분석 기획자 상반기 대규모 채용,(주)인라이플,서울 구로구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37480522&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
무선통신 정규직 채용 - 경력/신입,이노넷(주),서울 송파구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37422826&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
[국비/노동부지원100%무료IT취업과정]JAVA/자바개발자 취업과정,(주)한국소프트웨어아이엔씨,서울 금천구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37385321&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
웹서비스 개발자 채용(경력직),㈜닥터소프트,서울 구로구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37490057&location=ts&searchword=python&searchType=search&paid_fl=n,경력1년↑
Cognex+SUALAB 딥러닝 연구원 채용,(주)수아랩,서울 서초구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37438581&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
"DataAnalysis, 인공지능(AI)外 정규직 채용 - 경력무관",(주)딥비전스,서울 서대문구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37492112&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
"데이터 마이닝, 전처리, 분석 신입 및 경력자",(주)빌트온,서울 중구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37479871&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
Software Developer (Network Management System),에릭슨엘지(주),서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37544079&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
한일네트웍스 서비스 개발 및 운영 신입사원 모집,한일네트웍스(주),서울 마포구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37517756&location=ts&searchword=python&searchType=search&paid_fl=n,신입
[한국 휴렛팩커드] Sales Manager (스타트업 관련 경력자),한국휴렛팩커드(유),서울 영등포구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37497837&location=ts&searchword=python&searchType=search&paid_fl=n,경력5년↑
(주)시큐아이 개발직군 경력사원 채용,(주)시큐아이,서울 중구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37467033&location=ts&searchword=python&searchType=search&paid_fl=n,경력
[펑타이코리아] 2019년 하반기 경력직 채용 공고,펑타이그레이터차이나(유),서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37458769&location=ts&searchword=python&searchType=search&paid_fl=n,경력 2~10년
"[급성장 스타트업] 기술지원,서버 및 엔진개발 신입/경력직 채용",(주)에버스핀,서울 금천구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37514875&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
[신입/경력] IT개발자 부문별 채용공고,㈜해커스교육그룹,서울 서초구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37498334&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
금융비즈니스분야-웹프로그래머 신입사원 모집,㈜웨인테크놀로지,서울 구로구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37531056&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
[티피엠엔] 데이터 분석 직군 모집 (신입/경력),(주)티피엠엔,서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37528126&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
2019 핌아시아 회계팀 경력직 채용,주식회사 핌아시아,서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37470042&location=ts&searchword=python&searchType=search&paid_fl=n,경력5년↑
연구소·R&D 정규직 채용(경력무관),(주)엑소퍼트,서울 성북구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37516970&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
연구소·R&D 연구원 채용(BI 및 NGS 연구원),(주)펜타메딕스,경기 성남시 수정구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37288839&location=ts&searchword=python&searchType=search&paid_fl=n,신입·경력
스튜디오이온㈜ 채용 공고(경력&신입),스튜디오이온(주),서울 용산구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37425085&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
"2019 부문별 공개채용 (머신러닝, SW개발 외)",(주)뷰노,서울 서초구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37529492&location=ts&searchword=python&searchType=search&paid_fl=n,경력3년↑
[스낵24] 아웃바운드 영업/PB제품개발/사업기획/MD 채용,(주)위펀,서울 금천구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37482444&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
